,Course Name,Prereqs
73,BIMM 100,"['B' 'I' 'L' 'D' ' ' '1' 'B' 'I' 'B' 'C' ' ' '1' '0' '3' 'B' 'I' 'L' 'D'
 ' ' '4' 'B' 'I' 'L' 'D' ' ' '7' '0' 'B' 'I' 'M' 'M' ' ' '1' '0' '1' 'B'
 'E' 'N' 'G' ' ' '1' '2' '0' 'C' 'H' 'E' 'M' ' ' '4' '0' 'A' 'C' 'H' 'E'
 'M' ' ' '4' '0' 'A' 'H' 'B' 'E' 'N' 'G' ' ' '1' '2' '0' 'C' 'H' 'E' 'M'
 ' ' '4' '0' 'B' 'C' 'H' 'E' 'M' ' ' '4' '0' 'B' 'H']"
74,BIMM 101,['B' 'I' 'L' 'D' ' ' '1']
75,BIMM 110,"['B' 'I' 'M' 'M' ' ' '1' '0' '0' 'B' 'I' 'C' 'D' ' ' '1' '0' '0' 'B' 'I'
 'B' 'C' ' ' '1' '0' '0' 'B' 'I' 'B' 'C' ' ' '1' '0' '2' 'C' 'H' 'E' 'M'
 ' ' '1' '1' '4' 'A' 'C' 'H' 'E' 'M' ' ' '1' '1' '4' 'B']"
76,BILD 96,[]
77,BIMM 116,"['B' 'I' 'L' 'D' ' ' '1' 'P' 'S' 'Y' 'C' ' ' '2' 'P' 'S' 'Y' 'C' ' ' '1'
 '0' '6']"
78,BIMM 120,"['B' 'I' 'L' 'D' ' ' '3' 'B' 'I' 'B' 'C' ' ' '1' '0' '0' 'B' 'I' 'B' 'C'
 ' ' '1' '0' '2' 'C' 'H' 'E' 'M' ' ' '1' '1' '4' 'A' 'C' 'H' 'E' 'M' ' '
 '1' '1' '4' 'B' 'B' 'I' 'M' 'M' ' ' '1' '0' '0']"
79,BIMM 143,"['B' 'I' 'L' 'D' ' ' '1' 'B' 'I' 'E' 'B' ' ' '1' '2' '3' 'B' 'I' 'L' 'D'
 ' ' '4' 'B' 'I' 'M' 'M' ' ' '1' '0' '1']"
80,BIPN 102,['B' 'I' 'P' 'N' ' ' '1' '0' '0']
81,BIMM 121,['B' 'I' 'L' 'D' ' ' '1']
82,BIMM 122,['B' 'I' 'M' 'M' ' ' '1' '0' '0']
83,BIMM 140,['B' 'I' 'L' 'D' ' ' '1']
84,BIMM 194,['B' 'I' 'M' 'M' ' ' '1' '0' '0']
85,BIPN 100,['B' 'I' 'L' 'D' ' ' '1' 'B' 'I' 'L' 'D' ' ' '2']
86,BIPN 105,['B' 'I' 'P' 'N' ' ' '1' '0' '0']
87,BIPN 145,"['M' 'A' 'T' 'H' ' ' '1' '1' 'B' 'I' 'L' 'D' ' ' '2' 'B' 'I' 'L' 'D' ' '
 '4']"
