,Course Name,Prereqs
618,MUS 7,[]
619,MUS 8,[]
620,MUS 9,[]
621,MUS 95E,[]
622,MUS 95G,[]
623,MUS 95JC,[]
625,MUS 95W,[]
627,NANO 148,[]
628,NANO 15,[]
630,PHIL 10,[]
631,NANO 4,[]
632,NANO 156,[]
634,PHIL 1,[]
635,PHIL 110,[]
636,PHIL 134,[]
638,PHIL 13,[]
639,PHIL 131,[]
640,PHIL 12,[]
641,PHIL 138,[]
642,PHIL 146,[]
643,PHIL 150,[]
644,PHIL 166,[]
645,PHIL 168,[]
646,PHIL 155,[]
647,PHIL 158,[]
648,PHIL 163,[]
650,PHIL 26,[]
652,PHIL 31,[]
653,PHYS 10,[]
655,PHYS 13,[]
663,PHYS 191,[]
675,PHYS 87,[]
676,PHYS 5,[]
677,POLI 100F,[]
679,POLI 100G,[]
680,POLI 104A,[]
681,POLI 108,[]
682,POLI 110A,[]
683,POLI 118,[]
684,POLI 113A,[]
686,POLI 104M,[]
687,POLI 10D,[]
689,POLI 120E,[]
690,POLI 11D,[]
691,POLI 120G,[]
692,POLI 137A,[]
693,POLI 126,[]
694,POLI 12D,[]
695,POLI 138D,[]
696,POLI 134D,[]
697,POLI 143,[]
698,POLI 142A,[]
699,POLI 146A,[]
701,POLI 191A,[]
702,POLI 149,[]
703,POLI 165,[]
704,POLI 30D,[]
705,PSYC 100,[]
706,PSYC 1,[]
707,POLI 153,[]
708,PSYC 104,[]
709,PSYC 102,[]
710,PSYC 101,[]
711,PSYC 105,[]
713,PSYC 124,[]
714,PSYC 141,[]
715,PSYC 132,[]
716,PSYC 134,[]
717,PSYC 155,[]
719,PSYC 152,[]
720,PSYC 162,[]
721,PSYC 184,[]
722,PSYC 178,[]
723,PSYC 167,[]
724,PSYC 174,[]
725,PSYC 179,[]
726,PSYC 180,[]
727,PSYC 168,[]
728,PSYC 188,[]
729,PSYC 193,[]
730,PSYC 193L,[]
731,PSYC 60,[]
732,PSYC 3,[]
734,PSYC 6,[]
736,PSYC 2,[]
737,PSYC 88,[]
739,RELI 188,[]
740,RELI 1,[]
742,REV 1,[]
744,REV 2,[]
747,SE 1,[]
751,SEV 1,[]
756,SIO 110,[]
761,SIO 12,[]
763,SIO 15,[]
767,SIO 40,[]
769,SIO 60,[]
770,SIO 87,[]
771,SIO 90,[]
773,SIO 30,[]
774,SIO 50,[]
775,SOCI 1,[]
776,SOCI 100,[]
781,SOCI 113,[]
782,SOCI 117,[]
783,SOCI 118,[]
784,SOCI 135,[]
785,SOCI 119,[]
786,SOCI 122,[]
787,SOCI 125,[]
788,SOCI 133,[]
789,SOCI 134,[]
790,SOCI 140,[]
791,SOCI 141,[]
792,SOCI 142,[]
793,SOCI 138,[]
794,SOCI 148,[]
795,SOCI 149,[]
796,SOCI 152,[]
797,SOCI 159,[]
798,SOCI 151,[]
799,SOCI 160,[]
800,SOCI 172,[]
801,SOCI 126,[]
802,SOCI 166,[]
803,SOCI 185,[]
804,SOCI 30,[]
805,TDAC 1,[]
806,SXTH 1,[]
807,SOCI 147,[]
812,SOCI 196A,[]
813,SOCI 60,[]
815,TDDM 1,[]
816,SOCI 175,[]
817,TDDM 5,[]
818,TDDR 101,[]
819,TDAC 122,[]
820,TDGE 10,[]
821,TDDR 108,[]
823,TDGE 1,[]
824,TDGE 11,[]
825,TDGE 125,[]
826,TDHT 101,[]
827,TDHT 107,[]
828,TDGE 25,[]
830,TDGE 87,[]
831,TDDE 1,[]
832,TDHT 10,[]
833,TDHT 21,[]
838,TDMV 138,[]
839,TDMV 142,[]
840,TDMV 143,[]
841,TDMV 1,[]
842,TDMV 2,[]
843,TDPW 1,[]
844,TDTR 15,[]
845,TDMV 3,[]
846,TDPR 6,[]
847,TDMV 20,[]
848,TDTR 10,[]
849,TMC 1,[]
850,TMC 2,[]
851,TMC 20,[]
852,TWS 20,[]
853,USP 1,[]
854,USP 133,[]
855,USP 136,[]
857,USP 124,[]
858,USP 144,[]
859,USP 125,[]
860,USP 151,[]
861,USP 153,[]
862,USP 177A,[]
864,USP 25,[]
865,USP 4,[]
866,USP 5,[]
869,VIS 101,[]
870,VIS 1,[]
871,VIS 103B,[]
875,VIS 110B,[]
878,VIS 110K,[]
880,VIS 121C,[]
881,VIS 127P,[]
882,VIS 128C,[]
883,VIS 124CN,[]
884,VIS 142,[]
885,VIS 131,[]
890,VIS 149,[]
900,VIS 23,[]
902,VIS 30,[]
903,VIS 60,[]
904,VIS 20,[]
906,VIS 41,[]
907,VIS 70N,[]
908,VIS 80,[]
909,WARR 87,[]
911,WCWP 100,[]
912,WCWP 10A,[]
914,WARR 2,[]
916,ANAR 100,[]
917,ANSC 105,[]
918,ANSC 138,[]
919,ANAR 144,[]
920,ANSC 166,[]
921,AWP 1,[]
922,AWP 10,[]
923,BICD 136,[]
924,ANTH 102,[]
928,CGS 101,[]
930,CGS 114,[]
932,COGS 154,[]
939,COGS 20,[]
941,CSE 5A,[]
942,CSE 190,[]
944,ECE 180,[]
946,ETHN 103,[]
947,ETHN 152,[]
949,ETHN 124,[]
950,GLBH 101,[]
951,HIEU 152,[]
952,ETHN 163J,[]
953,HILA 113,[]
955,GLBH 105,[]
957,HILD 14,[]
958,HILD 2C,[]
959,HIUS 125,[]
960,HUM 4,[]
961,HISC 119,[]
962,HITO 156,[]
963,HIUS 117,[]
964,HIUS 148,[]
965,HISC 109,[]
966,LTAF 120,[]
967,HUM 5,[]
969,LTCS 102,[]
970,LAWS 101,[]
973,LTEA 120A,[]
974,LTEN 181,[]
979,MUS 14,[]
981,MMW 122,[]
982,MGT 119,[]
984,MUS 80,[]
985,MUS 20,[]
986,PHIL 164,[]
987,POLI 104I,[]
988,PHIL 137,[]
989,POLI 10,[]
990,PHYS 9,[]
991,POLI 100B,[]
992,PHIL 173,[]
994,POLI 142K,[]
995,POLI 130B,[]
996,POLI 11,[]
997,POLI 117R,[]
998,POLI 154,[]
999,POLI 160AA,[]
1000,POLI 126AB,[]
1001,POLI 127,[]
1002,PSYC 106,[]
1004,POLI 5,[]
1005,PSYC 114,[]
1006,PSYC 131,[]
1008,POLI 30,[]
1010,PSYC 148,[]
1011,PSYC 153,[]
1012,PSYC 158,[]
1013,PSYC 191,[]
1014,PSYC 172,[]
1016,PSYC 181,[]
1017,PSYC 190,[]
1018,PSYC 154,[]
1021,RELI 149,[]
1025,SE 150,[]
1026,SIO 109R,[]
1027,SOCI 2,[]
1028,SIO 45,[]
1030,SOCI 131,[]
